fold_count,metric,metric_direction_note,model_family,negative_count,positive_count,prevalence,row_count,value,variant_id,thermal_contribution,point_estimate,bootstrap_lower,bootstrap_upper,valid_replicates,delta_vs_canonical,delta_support
5,roc_auc,ROC-AUC: a positive raw delta indicates a higher ROC-AUC value.,baseline,18662,744,0.038338658146964855,19406,0.7969610130067079,canonical,0.07386657292203236,0.07386657292203236,0.0623636952942842,0.08515843280930162,1000,0,reference
5,pr_auc,PR-AUC: a positive raw delta indicates a higher PR-AUC value.,baseline,18662,744,0.038338658146964855,19406,0.11893877134545741,canonical,0.10963943218389616,0.10963943218389616,0.08394056177394013,0.1381707499593101,1000,0,reference
5,brier,Brier score is a loss: a negative raw delta indicates a lower Brier score. The sign is reported raw and is never re-oriented.,baseline,18662,744,0.038338658146964855,19406,0.07364762543835283,canonical,-0.023971183500108177,-0.023971183500108177,-0.02599299770810921,-0.02202735888915923,1000,0,reference
5,roc_auc,ROC-AUC: a positive raw delta indicates a higher ROC-AUC value.,thermal,18662,744,0.038338658146964855,19406,0.8708275859287402,canonical,0.07386657292203236,0.07386657292203236,0.0623636952942842,0.08515843280930162,1000,0,reference
5,pr_auc,PR-AUC: a positive raw delta indicates a higher PR-AUC value.,thermal,18662,744,0.038338658146964855,19406,0.22857820352935357,canonical,0.10963943218389616,0.10963943218389616,0.08394056177394013,0.1381707499593101,1000,0,reference
5,brier,Brier score is a loss: a negative raw delta indicates a lower Brier score. The sign is reported raw and is never re-oriented.,thermal,18662,744,0.038338658146964855,19406,0.04967644193824466,canonical,-0.023971183500108177,-0.023971183500108177,-0.02599299770810921,-0.02202735888915923,1000,0,reference
5,roc_auc,ROC-AUC: a positive raw delta indicates a higher ROC-AUC value.,baseline,18662,744,0.038338658146964855,19406,0.7947338937268881,close_7d_earlier,0.10091913099242533,0.10091913099242533,0.08809305744750699,0.1140124754813121,1000,-0.002227119279819778,reference
5,pr_auc,PR-AUC: a positive raw delta indicates a higher PR-AUC value.,baseline,18662,744,0.038338658146964855,19406,0.11858096638916683,close_7d_earlier,0.1912283503419671,0.1912283503419671,0.15190239483066512,0.23120231673282632,1000,-0.00035780495629057774,reference
5,brier,Brier score is a loss: a negative raw delta indicates a lower Brier score. The sign is reported raw and is never re-oriented.,baseline,18662,744,0.038338658146964855,19406,0.07327110813636611,close_7d_earlier,-0.027305770973308316,-0.027305770973308316,-0.029463027520886174,-0.025138448432309904,1000,-0.0003765173019867202,reference
5,roc_auc,ROC-AUC: a positive raw delta indicates a higher ROC-AUC value.,thermal,18662,744,0.038338658146964855,19406,0.8956530247193134,close_7d_earlier,0.10091913099242533,0.10091913099242533,0.08809305744750699,0.1140124754813121,1000,0.024825438790573195,reference
5,pr_auc,PR-AUC: a positive raw delta indicates a higher PR-AUC value.,thermal,18662,744,0.038338658146964855,19406,0.30980931673113393,close_7d_earlier,0.1912283503419671,0.1912283503419671,0.15190239483066512,0.23120231673282632,1000,0.08123111320178036,reference
5,brier,Brier score is a loss: a negative raw delta indicates a lower Brier score. The sign is reported raw and is never re-oriented.,thermal,18662,744,0.038338658146964855,19406,0.0459653371630578,close_7d_earlier,-0.027305770973308316,-0.027305770973308316,-0.029463027520886174,-0.025138448432309904,1000,-0.003711104775186859,reference
5,roc_auc,ROC-AUC: a positive raw delta indicates a higher ROC-AUC value.,baseline,18662,744,0.038338658146964855,19406,0.7934862819967665,close_14d_earlier,0.09358204326427222,0.09358204326427222,0.07843848708748585,0.10877038937820038,1000,-0.003474731009941334,reference
5,pr_auc,PR-AUC: a positive raw delta indicates a higher PR-AUC value.,baseline,18662,744,0.038338658146964855,19406,0.11920285310711091,close_14d_earlier,0.20016979358293824,0.20016979358293824,0.15438152982039846,0.2419963361252303,1000,0.0002640817616535035,reference
5,brier,Brier score is a loss: a negative raw delta indicates a lower Brier score. The sign is reported raw and is never re-oriented.,baseline,18662,744,0.038338658146964855,19406,0.07369907862569078,close_14d_earlier,-0.028905576588507002,-0.028905576588507002,-0.03094364717182711,-0.026755544770698674,1000,5.1453187337943684e-05,reference
5,roc_auc,ROC-AUC: a positive raw delta indicates a higher ROC-AUC value.,thermal,18662,744,0.038338658146964855,19406,0.8870683252610387,close_14d_earlier,0.09358204326427222,0.09358204326427222,0.07843848708748585,0.10877038937820038,1000,0.016240739332298526,reference
5,pr_auc,PR-AUC: a positive raw delta indicates a higher PR-AUC value.,thermal,18662,744,0.038338658146964855,19406,0.31937264669004917,close_14d_earlier,0.20016979358293824,0.20016979358293824,0.15438152982039846,0.2419963361252303,1000,0.0907944431606956,reference
5,brier,Brier score is a loss: a negative raw delta indicates a lower Brier score. The sign is reported raw and is never re-oriented.,thermal,18662,744,0.038338658146964855,19406,0.044793502037183776,close_14d_earlier,-0.028905576588507002,-0.028905576588507002,-0.03094364717182711,-0.026755544770698674,1000,-0.0048829399010608815,reference
